store_number,store_name,zip_code,address,store_location,etl_date
10150,WYCH DR DISTILLING CO / ET,51012,314 S 5TH ST,POINT(-95.55575 42.74738),2025-02-25T12:40:58.468704
10152,SPEEDEE MART 1512 / COUNCIL BLUFFS,51501,3624 9TH AVENUE,POINT(-95.90561 41.25369),2025-02-25T12:40:58.468704
10153,IOWA SPIRITS / BURLINGTON,526010,2107 AGENCY STREET,POINT(-91.129609016 40.814232012),2025-02-25T12:40:58.468704
10154,HIWAY 20 LIQUOR AND TOBACCO / WEBSTER CITY,50595,1345 2ND STREET,POINT(-93.837414018 42.469864),2025-02-25T12:40:58.468704
10155,CASEY'S #4324 / PALO,52324,1204 1ST STREET,POINT(-91.79577 42.07018),2025-02-25T12:40:58.468704
10157,SA TOBACCO LIQUOR MART / CLINTON,527320,320 N 4TH ST,POINT(-90.193580012 41.848415994),2025-02-25T12:40:58.468704
10158,BP EXPRESS / WEST UNION,52175,300 IOWA 150,POINT(-91.81443 42.96497),2025-02-25T12:40:58.468704
10159,SUNSHINE FOODS / MILFORD,513510,1704 OKOBOJI AVE.,POINT(-95.149188989 43.331967007),2025-02-25T12:40:58.468704
10160,ONE STOP FOOD AND FUEL / SIOUX CITY,511030,923 WEST 7TH STREET,POINT(-96.419118986 42.50406602),2025-02-25T12:40:58.468704
10161,KIMMES BAXTER COUNTRY STORE #13 / BAXTER,500280,312 EAST BUCHANNAN STREET,POINT(-93.145392022 41.820404009),2025-02-25T12:40:58.468704
10162,NEWTON MARKET / NEWTON,502080,321 1ST AVENUE WEST,POINT(-93.057047014 41.699213005),2025-02-25T12:40:58.468704
10164,LA HISPANA GROCERY / HAWARDEN,510230,907 CENTRAL AVE,POINT(-96.485547999 42.995926995),2025-02-25T12:40:58.468704
10165,SUPER MARKET / DAVENPORT,52806,6723 NORTHWEST BOULEVARD,POINT(-90.608956036 41.589559983),2025-02-25T12:40:58.468704
10167,HY-VEE / ELDRIDGE,527480,425 EAST LE CLAIRE ROAD,POINT(-90.5773 41.65427),2025-02-25T12:40:58.468704
10168,MT VERNON DISCOUNT MARKET LLC / CEDAR RAPIDS,524030,3102 MOUNT VERNON ROAD SOUTHEAST,POINT(-91.6224835309999 41.9771759830001),2025-02-25T12:40:58.468704
10170,SHERPA LIQUOR & TOBACCO OUTLET 1 / BURLINGTON,52601,1204 NORTH 8TH STREET,POINT(-91.10546 40.82025),2025-02-25T12:40:58.468704
10171,SHERPA LIQUOR & TOBACCO OUTLET / BURLINGTON,526010,1703 MOUNT PLEASANT STREET,POINT(-91.122465036 40.819691983),2025-02-25T12:40:58.468704
10172,HUBER'S STORE / FORT ATKINSON,52144,101 MAIN STREET,POINT(-91.932582013 43.143643999),2025-02-25T12:40:58.468704
10174,FAS MART #5149 / CEDAR RAPIDS,524020,2349 BLAIRS FERRY ROAD NORTHEAST,POINT(-91.678013136 42.03433239),2025-02-25T12:40:58.468704
10176,FIRE AND SALT CO - CORNING LLC,508410,620 DAVIS AVENUE,POINT(-94.73442 40.98874),2025-02-25T12:40:58.468704
10177,"FAREWAY STORES, INC. #233 / CLIVE",503250,16035 HICKMAN ROAD,POINT(-93.839539962 41.615105353),2025-02-25T12:40:58.468704
10178,BANI'S / CEDAR FALLS,506130,2128 COLLEGE STREET,POINT(-92.455384029 42.518088986),2025-02-25T12:40:58.468704
10179,KLINE'S QUICK TIME / KNOXVILLE,501380,319 EAST MAIN STREET,POINT(-93.095509975 41.319310996),2025-02-25T12:40:58.468704
10180,SWEETIES LIQUOR STORE AND COFFEE SHOP LLC / ODEBOLT,514580,3274 FOX AVENUE,POINT(-95.244925998 42.3158350040001),2025-02-25T12:40:58.468704
10181,BLAIRSTOWN QUICK STOP / BLAIRSTOWN,522090,321 LOCUST ST NW,POINT(-92.084897036 41.90946898),2025-02-25T12:40:58.468704
10182,CARSON COUNTRY STORE LLC / CARSON,515250,202 HIGHWAY STREET,POINT(-95.420841023 41.233100021),2025-02-25T12:40:58.468704
10183,CROWN LIQUOR & SMOKE / IOWA CITY,,,,2025-02-25T12:40:58.468704
10185,CASEY'S #4367 / IOWA CITY,522460,2410 MORMON TREK BOULEVARD,POINT(-91.565449793 41.637293497),2025-02-25T12:40:58.468704
10186,CASEY'S #4369 / IOWA CITY,522400,206 EAST BENTON STREET,POINT(-91.532680826 41.651515072),2025-02-25T12:40:58.468704
10187,CASEY'S #4368 / CORALVILLE,522410,590 1ST AVENUE,POINT(-91.566888882 41.676070989),2025-02-25T12:40:58.468704
10188,NICKS FAMILY GROCERY / WINTHROP,506820,135 MADISON STREET,POINT(-91.732470026 42.4732559880001),2025-02-25T12:40:58.468704
10189,HY-VEE / KNOXVILLE,50138,809 WEST ROCK ISLAND STREET,POINT(-93.107034002 41.325942004),2025-02-25T12:40:58.468704
10190,CASEY'S GENERAL STORE #2608 / SIOUX CITY,511050,1132 LEWIS BOULEVARD,POINT(-96.37789 42.50277),2025-02-25T12:40:58.468704
10191,WEVER JUNCTION INC / WEVER,526580,1621 GREEN BAY ROAD,POINT(-91.2274 40.71744),2025-02-25T12:40:58.468704
10192,ENGEN EXPRESS / RIDGEWAY,521650,610 NORTH STREET,POINT(-91.987518013 43.298056006),2025-02-25T12:40:58.468704
10193,BEER ON FLOYD / SIOUX CITY,51108,3132 FLOYD BLVD,POINT(-96.372126045 42.531406736),2025-02-25T12:40:58.468704
10194,GOODSTOP BY CASEY'S #4313 / ELDORA,50627,2359 EDGINGTON AVENUE,POINT(-93.11351 42.36057),2025-02-25T12:40:58.468704
